Latitude: 49.7391304347826  Longitude: -111.304347826087
X & Y on Lambert Conformal Conic: -779498.03 821520.08
Tile: 12455
Elevation: 852 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2010,1,28742.68,1.76,160.92,41.81,-7.78,-21.55,109.13
2010,2,28805.36,0.00,163.05,41.81,-0.94,-15.23,187.15
2010,3,28873.11,0.00,132.72,41.81,-10.12,-18.83,138.10
2010,4,28945.88,0.00,98.82,41.81,-12.72,-18.54,141.54
2010,5,29023.59,5.20,99.24,47.01,-14.26,-22.64,99.09
2010,6,29106.19,1.58,149.31,48.58,-20.26,-30.30,49.00
2010,7,29193.59,0.00,163.78,48.58,-17.94,-30.02,50.31
2010,8,29285.73,0.00,175.57,48.58,-7.09,-22.22,102.82
2010,9,29382.53,0.00,175.39,48.58,4.11,-11.06,262.72
2010,10,29483.90,0.00,128.26,47.32,4.91,-3.00,489.51
2010,11,29589.77,0.00,152.39,46.40,6.52,-3.80,461.25
2010,12,29700.05,0.00,94.35,43.37,6.60,1.21,666.54
2010,13,29814.64,0.00,123.53,41.54,5.59,-1.65,541.11
2010,14,29933.48,0.00,132.70,39.85,5.91,-1.97,528.38
2010,15,30056.45,0.00,96.72,36.77,6.69,1.34,672.60
2010,16,30183.48,0.00,146.83,35.80,5.15,-3.69,465.07
2010,17,30314.47,0.00,135.27,35.43,2.47,-5.11,417.80
2010,18,30449.32,0.00,145.54,34.42,4.75,-3.60,468.29
2010,19,30587.94,0.00,149.05,34.18,2.99,-5.44,407.50
2010,20,30730.25,0.00,144.78,33.94,2.48,-5.43,407.81
2010,21,30876.13,0.00,123.78,33.94,-2.72,-8.93,310.97
2010,22,31025.51,0.00,63.37,33.94,-5.44,-8.33,326.00
2010,23,31178.28,5.36,35.62,39.30,-5.25,-7.24,354.73
