Latitude: 47.5652173913043  Longitude: -122.173913043478
X & Y on Lambert Conformal Conic: -1576526.55 747893.81
Tile: 12269
Elevation: 53 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2010,1,29905.94,9.08,68.88,0.00,10.79,6.12,942.70
2010,2,29962.66,1.93,78.93,0.00,9.49,5.61,910.09
2010,3,30023.99,8.24,69.78,0.00,8.55,3.96,810.47
2010,4,30089.87,13.43,37.29,0.00,8.50,6.22,948.95
2010,5,30160.26,1.91,43.93,0.00,8.93,6.96,998.44
2010,6,30235.08,0.00,109.03,0.00,9.64,4.09,817.99
2010,7,30314.29,6.18,91.23,0.00,9.19,2.86,750.10
2010,8,30397.81,21.00,63.24,0.00,7.92,4.05,815.87
2010,9,30485.59,0.89,132.25,0.00,11.60,4.29,829.60
2010,10,30577.55,6.76,102.62,0.00,12.22,4.67,852.10
2010,11,30673.62,26.90,64.91,0.00,11.34,7.38,1028.16
2010,12,30773.72,9.90,57.10,0.00,10.86,7.48,1034.73
2010,13,30877.80,12.19,76.44,0.00,11.92,7.21,1016.17
2010,14,30985.75,8.64,55.52,0.00,9.65,6.48,965.90
2010,15,31097.52,10.24,75.94,0.00,10.39,5.91,929.12
2010,16,31213.02,2.26,90.57,0.00,7.22,1.87,698.78
2010,17,31332.17,1.15,114.95,0.00,10.93,5.78,920.27
2010,18,31454.88,0.00,141.49,0.00,14.67,7.53,1038.76
2010,19,31581.09,0.63,143.69,0.00,15.22,8.01,1072.66
2010,20,31710.69,0.00,165.89,0.00,14.19,4.81,860.63
2010,21,31843.62,0.00,155.51,0.00,13.60,5.75,918.58
2010,22,31979.79,0.00,143.68,0.00,9.76,3.37,777.44
2010,23,32119.11,1.04,139.46,0.00,9.06,3.11,763.67
2010,24,32261.50,10.83,120.94,0.00,7.83,0.64,639.82
2010,25,32406.88,0.56,170.52,0.00,12.00,3.76,799.60
2010,26,32555.16,0.00,164.56,0.00,9.15,1.89,699.96
2010,27,32706.26,0.00,176.71,0.00,9.71,1.55,683.05
2010,28,32860.11,0.00,175.70,0.00,12.04,4.01,813.66
2010,29,33016.61,4.14,134.81,0.00,12.97,4.81,860.39
2010,30,33175.69,4.20,85.05,0.00,9.02,5.00,871.78
2010,31,33337.27,0.59,96.15,0.00,9.62,6.31,955.04
2010,32,33501.27,2.31,123.83,0.00,9.44,3.11,763.63
2010,33,33667.61,0.00,179.87,0.00,11.78,4.35,833.32
2010,34,33836.22,5.39,112.56,0.00,9.39,3.99,812.16
2010,35,34007.01,6.21,153.83,0.00,13.34,3.82,802.73
2010,36,34179.92,0.49,178.81,0.00,14.12,6.86,992.09
2010,37,34354.86,4.94,162.02,0.00,14.71,4.19,823.73
2010,38,34531.78,0.40,138.59,0.00,10.52,5.67,913.70
2010,39,34710.60,0.00,185.77,0.00,10.99,3.90,807.23
2010,40,34891.24,0.00,202.95,0.00,9.25,1.31,671.16
2010,41,35073.64,3.87,142.36,0.00,6.55,-0.24,599.98
2010,42,35257.74,4.78,145.84,0.00,12.07,4.78,858.89
2010,43,35443.47,7.21,138.40,0.00,12.10,5.47,901.12
2010,44,35630.76,14.50,110.79,0.00,10.75,5.87,926.40
2010,45,35819.55,3.80,133.96,0.00,12.16,6.00,934.79
2010,46,36009.79,6.09,178.02,0.00,12.13,2.34,722.82
2010,47,36201.40,0.52,226.45,0.00,12.54,3.69,795.23
