Latitude: 30.1739130434783  Longitude: -109.130434782609
X & Y on Lambert Conformal Conic: -857988.15 -1268973.71
Tile: 10836
Elevation: 1290 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2010,1,36341.54,0.00,341.83,0.00,19.07,-0.50,460.23
2010,2,36369.07,0.00,360.00,0.00,20.60,-0.64,312.26
2010,3,36398.87,0.00,361.16,0.00,20.83,-0.07,227.66
2010,4,36430.90,0.00,354.71,0.00,20.12,0.11,239.47
2010,5,36465.16,0.00,363.70,0.00,20.41,-0.56,219.25
2010,6,36501.62,0.00,372.44,0.00,21.04,-0.93,203.50
2010,7,36540.25,0.00,367.90,0.00,20.82,-0.42,215.31
2010,8,36581.03,0.00,332.55,0.00,18.41,0.95,283.99
2010,9,36623.95,0.00,362.12,0.00,20.25,0.00,228.72
2010,10,36668.96,0.00,365.04,0.00,19.79,-0.57,219.13
2010,11,36716.05,0.00,359.28,0.00,19.07,-0.48,228.35
2010,12,36765.18,0.00,354.94,0.00,20.56,1.50,257.94
2010,13,36816.32,0.00,359.61,0.00,19.55,0.22,236.22
2010,14,36869.45,0.00,342.96,0.00,19.04,1.50,239.13
2010,15,36924.54,0.00,340.05,0.00,19.02,1.84,245.39
2010,16,36981.54,0.00,365.20,0.00,19.44,0.09,214.47
2010,17,37040.44,0.00,362.11,0.00,18.61,-0.23,209.29
2010,18,37101.19,0.00,360.79,0.00,19.86,1.23,234.17
2010,19,37163.77,4.52,233.70,0.00,19.91,4.87,320.41
2010,20,37228.14,10.35,163.39,0.00,16.11,6.32,562.00
2010,21,37294.26,17.74,181.83,0.00,17.22,6.11,672.05
2010,22,37362.10,36.01,137.69,0.00,14.74,6.43,963.20
2010,23,37431.62,0.00,214.27,0.00,13.49,3.93,808.87
2010,24,37502.80,0.00,341.08,0.00,15.02,-1.66,502.03
2010,25,37575.58,0.00,360.53,0.00,18.14,-0.13,533.34
2010,26,37649.95,0.00,364.33,0.00,18.62,0.16,539.24
2010,27,37725.85,19.69,245.52,0.00,16.92,1.07,659.86
2010,28,37803.26,0.00,249.48,0.00,14.58,3.56,788.35
2010,29,37882.14,0.00,337.06,0.00,16.25,0.36,622.72
2010,30,37962.45,0.00,349.84,0.00,16.99,0.30,609.16
2010,31,38044.16,0.00,345.09,0.00,18.73,2.41,702.14
2010,32,38127.23,0.00,376.20,0.00,20.72,2.15,659.22
2010,33,38211.62,17.67,271.96,0.00,19.97,2.34,723.03
2010,34,38297.30,12.81,219.11,0.00,15.26,2.73,743.17
2010,35,38384.24,0.00,325.88,0.00,19.04,4.77,858.03
2010,36,38472.39,0.00,378.29,0.00,19.75,2.30,720.71
2010,37,38561.72,0.00,409.29,0.00,20.76,0.80,637.99
2010,38,38652.20,0.00,374.81,0.00,18.58,1.86,698.47
2010,39,38743.80,0.00,307.68,0.00,17.44,5.00,871.77
2010,40,38836.47,0.00,404.51,0.00,18.99,0.63,637.15
2010,41,38930.19,17.46,260.80,0.00,14.83,0.69,641.89
2010,42,39024.92,0.00,333.37,0.00,15.10,2.15,712.90
2010,43,39120.63,0.00,400.03,0.00,17.17,0.33,625.62
2010,44,39217.28,0.00,428.68,0.00,19.53,0.23,620.84
2010,45,39314.85,0.00,428.88,0.00,19.66,0.53,634.71
2010,46,39413.30,0.00,444.39,0.00,21.83,1.06,650.73
2010,47,39512.60,0.00,446.82,0.00,22.21,1.28,658.23
2010,48,39612.72,0.00,450.09,0.00,22.58,1.50,664.78
2010,49,39713.63,0.00,440.47,0.00,22.06,2.12,700.50
2010,50,39815.30,0.00,442.04,0.00,21.66,1.56,673.59
2010,51,39917.70,0.00,415.21,0.00,19.78,2.06,708.27
2010,52,40020.79,0.00,323.88,0.00,17.82,5.34,892.96
2010,53,40124.56,0.00,319.20,0.00,17.21,5.04,874.31
2010,54,40228.98,0.00,340.10,0.00,14.68,1.90,700.55
2010,55,40334.01,0.00,468.34,0.00,20.38,-1.15,545.80
2010,56,40439.62,0.00,473.68,0.00,21.99,-0.12,579.41
2010,57,40545.80,0.00,436.09,0.00,20.56,1.96,695.13
2010,58,40652.52,3.18,338.30,0.00,22.48,1.97,703.72
2010,59,40759.74,0.00,395.39,0.00,17.82,2.12,711.40
2010,60,40867.45,0.00,442.30,0.00,20.03,1.27,664.00
2010,61,40975.62,0.00,463.36,0.00,22.30,1.75,667.21
2010,62,41084.23,0.00,471.45,0.00,22.50,1.36,644.08
2010,63,41193.24,0.00,448.03,0.00,21.50,2.46,711.03
2010,64,41302.64,0.00,435.33,0.00,22.75,4.43,817.26
2010,65,41412.40,8.88,283.32,0.00,18.66,3.94,809.56
2010,66,41522.51,9.85,303.88,0.00,20.25,4.06,816.40
2010,67,41632.93,0.00,347.15,0.00,17.67,4.92,867.28
2010,68,41743.64,0.00,459.46,0.00,19.77,0.91,652.53
2010,69,41854.63,0.00,410.97,0.00,18.10,2.37,724.24
2010,70,41965.86,0.00,404.34,0.00,17.30,2.15,712.96
2010,71,42077.33,0.00,482.40,0.00,19.76,-0.39,591.35
2010,72,42189.00,0.00,508.06,0.00,23.75,0.80,618.61
2010,73,42300.85,0.00,488.71,0.00,23.44,2.30,697.45
2010,74,42412.87,0.00,432.92,0.00,21.13,4.12,819.80
2010,75,42525.04,0.00,459.41,0.00,22.34,3.74,789.90
2010,76,42637.32,0.00,476.25,0.00,26.02,6.00,894.76
2010,77,42749.71,0.00,494.28,0.00,24.41,3.48,747.53
2010,78,42862.18,0.00,440.65,0.00,22.10,5.09,876.67
2010,79,42974.71,0.00,447.29,0.00,20.60,3.55,787.70
2010,80,43087.29,0.00,503.57,0.00,23.30,2.44,692.14
2010,81,43199.88,0.00,524.33,0.00,25.65,2.73,686.42
2010,82,43312.47,0.00,475.25,0.00,22.59,3.76,775.73
