Latitude: 28.0  Longitude: -100.434782608696
X & Y on Lambert Conformal Conic: -42171.05 -1552415.71
Tile: 10660
Elevation: 290 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2010,1,36939.67,0.00,356.88,0.00,17.50,2.23,252.91
2010,2,36964.72,0.00,343.67,0.00,15.82,1.77,244.11
2010,3,36991.82,0.00,314.03,0.00,14.98,2.97,267.55
2010,4,37020.96,0.00,290.62,0.00,14.85,4.15,292.47
2010,5,37052.12,0.00,282.95,0.00,12.10,1.86,258.55
2010,6,37085.29,0.00,301.15,0.00,13.71,2.59,259.93
2010,7,37120.44,0.00,272.57,0.00,12.27,2.57,283.32
2010,8,37157.55,0.00,217.92,0.00,6.01,-1.37,325.22
2010,9,37196.59,0.00,342.11,0.00,8.65,-4.60,147.91
2010,10,37237.55,0.00,380.62,0.00,12.23,-4.19,152.85
2010,11,37280.41,0.00,362.50,0.00,12.43,-2.23,178.76
2010,12,37325.12,2.73,193.14,0.00,12.52,3.55,442.70
2010,13,37371.67,5.98,124.93,0.00,12.76,7.16,777.98
2010,14,37420.03,17.53,137.71,0.00,15.22,8.98,799.68
2010,15,37470.18,18.08,125.56,0.00,14.43,8.73,982.90
2010,16,37522.08,0.00,263.27,0.00,17.05,7.65,797.33
2010,17,37575.70,0.00,364.72,0.00,20.37,5.36,515.96
2010,18,37631.02,0.00,367.23,0.00,21.41,6.25,535.92
2010,19,37688.00,0.00,348.35,0.00,22.16,8.39,641.10
2010,20,37746.62,0.00,368.95,0.00,24.71,9.39,627.56
2010,21,37806.84,0.00,393.77,0.00,26.47,8.93,555.41
2010,22,37868.64,0.00,397.21,0.00,26.74,9.01,550.07
2010,23,37931.97,0.00,395.47,0.00,26.97,9.61,572.07
2010,24,37996.81,0.00,394.71,0.00,23.50,6.79,497.66
2010,25,38063.13,0.00,414.52,0.00,21.63,3.19,380.39
2010,26,38130.89,0.00,422.28,0.00,22.44,3.27,369.08
2010,27,38200.07,0.00,379.14,0.00,21.16,6.44,520.68
