Latitude: 34.5217391304348  Longitude: -83.0434782608696
X & Y on Lambert Conformal Conic: 1491147.4 -695940.01
Tile: 11209
Elevation: 245 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2010,1,35048.73,0.00,205.88,0.00,10.24,1.54,682.39
2010,2,35081.74,0.00,184.97,0.00,3.23,-4.18,448.21
2010,3,35117.46,0.00,271.19,0.00,3.77,-8.61,318.94
2010,4,35155.86,0.00,288.29,0.00,5.00,-8.84,313.34
2010,5,35196.92,0.00,271.35,0.00,4.26,-8.01,334.20
2010,6,35240.61,0.00,291.82,0.00,6.42,-7.65,343.68
2010,7,35286.90,0.00,299.68,0.00,7.99,-6.91,364.03
2010,8,35335.76,0.00,144.07,0.00,-0.42,-5.85,394.74
2010,9,35387.17,0.00,286.91,0.00,2.81,-10.29,279.50
2010,10,35441.07,0.00,288.94,0.00,3.49,-9.73,292.13
2010,11,35497.46,0.00,323.00,0.00,8.39,-8.91,311.44
2010,12,35556.28,0.00,306.18,0.00,7.79,-7.06,359.82
2010,13,35617.50,0.00,307.59,0.00,8.07,-6.78,367.55
2010,14,35681.08,0.00,330.84,0.00,12.36,-5.98,390.90
2010,15,35746.99,0.00,340.00,0.00,16.10,-4.70,430.85
2010,16,35815.19,50.15,212.53,0.00,10.38,-2.10,523.52
2010,17,35885.63,7.04,166.40,0.00,13.38,4.45,839.29
2010,18,35958.27,0.00,298.15,0.00,18.42,4.19,824.16
2010,19,36033.08,0.00,311.51,0.00,17.57,2.33,722.50
2010,20,36110.02,4.75,242.59,0.00,20.94,3.87,805.84
2010,21,36189.03,18.52,112.80,0.00,11.71,6.14,943.90
2010,22,36270.08,0.00,213.18,0.00,10.42,2.36,723.85
2010,23,36353.12,3.26,74.49,0.00,6.68,3.29,773.01
2010,24,36438.11,63.35,202.03,0.00,15.68,4.61,848.71
2010,25,36525.01,0.00,183.84,0.00,11.47,4.77,857.78
2010,26,36613.77,0.00,230.04,0.00,8.45,-0.01,610.42
2010,27,36704.35,0.00,341.29,0.00,11.87,-4.01,454.13
2010,28,36796.70,0.00,363.89,0.00,17.07,-2.72,499.82
2010,29,36890.78,14.51,161.65,0.00,8.38,0.74,644.34
2010,30,36986.55,0.98,51.69,0.00,0.50,-0.59,584.86
2010,31,37083.96,0.00,224.17,0.00,5.90,-1.86,532.78
2010,32,37182.96,8.22,251.31,0.00,10.06,-4.09,451.33
2010,33,37283.53,5.18,211.21,0.00,7.79,-2.59,504.97
2010,34,37385.60,0.00,336.85,0.00,13.42,-0.69,580.81
2010,35,37489.14,35.59,96.14,0.00,4.61,0.59,637.30
2010,36,37594.11,30.69,91.99,0.00,4.98,1.28,669.71
2010,37,37700.46,0.00,213.91,0.00,8.29,1.60,685.76
2010,38,37808.15,0.00,328.42,0.00,10.19,-1.73,537.87
2010,39,37917.14,0.00,345.90,0.00,9.91,-2.94,491.81
2010,40,38027.39,2.61,207.37,0.00,7.60,-1.25,557.34
2010,41,38138.85,0.00,271.93,0.00,3.70,-4.55,435.87
2010,42,38251.50,0.00,366.86,0.00,8.91,-4.31,443.66
2010,43,38365.28,6.29,139.32,0.00,2.60,-2.46,509.72
2010,44,38480.17,0.00,340.81,0.00,5.26,-5.25,413.26
2010,45,38596.11,3.75,292.32,0.00,8.29,-5.18,415.56
2010,46,38713.08,0.00,322.05,0.00,7.07,-2.14,521.88
2010,47,38831.03,0.00,296.01,0.00,3.52,-4.45,439.29
2010,48,38949.94,0.00,380.37,0.00,7.05,-4.77,428.79
2010,49,39069.76,0.00,423.33,0.00,12.41,-3.66,466.14
2010,50,39190.45,0.00,426.72,0.00,14.54,-1.95,529.20
2010,51,39311.99,0.00,432.69,0.00,16.45,-1.46,548.77
2010,52,39434.34,15.96,327.84,0.00,18.54,-0.59,584.89
