Latitude: 36.695652173913  Longitude: -87.3913043478261
X & Y on Lambert Conformal Conic: 1077289.7 -534424.56
Tile: 11387
Elevation: 168 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2010,1,34343.64,0.00,200.42,0.00,0.13,-7.31,352.98
2010,2,34379.70,0.00,185.73,0.00,-3.51,-10.19,281.69
2010,3,34418.72,0.00,180.34,0.00,-4.54,-10.93,265.47
2010,4,34460.67,0.00,231.74,0.00,-2.81,-11.70,249.70
2010,5,34505.51,0.00,220.95,0.00,-3.63,-11.86,246.52
2010,6,34553.23,3.87,236.32,3.87,0.55,-12.32,237.48
2010,7,34603.78,0.00,268.93,3.87,-0.95,-10.28,279.56
2010,8,34657.13,0.00,145.78,3.87,-7.36,-11.70,249.64
2010,9,34713.25,0.00,219.67,3.87,-5.31,-12.22,239.33
2010,10,34772.11,0.00,317.66,3.87,-2.68,-15.06,189.78
2010,11,34833.65,0.00,332.06,3.87,3.54,-10.62,272.17
2010,12,34897.85,0.00,271.93,3.87,1.54,-7.68,342.87
2010,13,34964.66,0.00,345.03,3.87,6.58,-9.35,301.04
2010,14,35034.04,0.00,353.08,3.87,11.61,-6.81,366.78
2010,15,35105.95,0.00,342.25,1.82,15.28,-1.11,563.15
2010,16,35180.35,18.92,212.82,0.00,11.72,-0.57,586.06
2010,17,35257.18,4.36,198.98,0.00,11.12,0.53,634.83
2010,18,35336.41,0.00,317.50,0.00,13.92,-2.90,493.14
2010,19,35417.99,14.52,235.63,0.00,15.90,-0.28,598.16
2010,20,35501.87,9.81,125.50,0.00,13.37,7.64,1046.17
2010,21,35588.01,9.93,140.11,0.00,15.82,9.26,1167.81
2010,22,35676.35,0.00,147.83,0.00,9.36,4.56,845.51
2010,23,35766.85,8.43,184.15,0.00,14.11,5.12,879.49
2010,24,35859.47,4.24,168.51,0.00,13.44,5.59,908.83
2010,25,35954.15,0.42,139.04,0.00,5.22,0.93,653.23
2010,26,36050.84,0.00,147.42,0.00,1.18,-3.28,479.34
2010,27,36149.50,0.00,312.16,0.00,6.17,-6.08,387.83
2010,28,36250.07,0.00,278.82,0.00,5.88,-3.87,458.71
2010,29,36352.51,6.90,73.99,0.00,-2.87,-5.62,401.77
2010,30,36456.78,0.00,203.27,0.00,-2.97,-9.05,308.08
