Latitude: 45.3913043478261  Longitude: -89.5652173913043
X & Y on Lambert Conformal Conic: 777540.55 355045.26
Tile: 12106
Elevation: 524 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2010,1,30953.85,0.00,175.87,51.81,-9.91,-17.96,148.76
2010,2,31005.42,0.00,212.73,51.81,-14.19,-25.47,76.81
2010,3,31061.20,0.00,221.31,51.81,-11.62,-24.10,86.93
2010,4,31121.13,0.00,168.36,51.81,-8.19,-15.62,181.19
2010,5,31185.16,0.00,180.19,51.81,-5.24,-13.44,216.84
2010,6,31253.26,0.00,226.53,51.81,-4.97,-17.90,149.59
2010,7,31325.36,0.00,183.96,51.81,-4.87,-13.15,222.02
2010,8,31401.41,0.00,108.58,51.81,-9.03,-13.28,219.58
2010,9,31481.35,0.00,172.52,51.81,-8.55,-15.84,177.81
2010,10,31565.12,1.35,204.72,53.16,-7.89,-17.27,157.70
2010,11,31652.67,0.00,196.17,53.16,-5.76,-14.43,199.84
2010,12,31743.92,0.00,175.41,53.16,-4.76,-12.01,243.40
2010,13,31838.81,0.00,186.27,53.16,-3.24,-11.06,262.78
2010,14,31937.28,0.00,177.45,53.16,-4.04,-11.25,258.79
2010,15,32039.26,0.00,89.53,53.16,-4.07,-7.34,352.05
2010,16,32144.67,0.00,188.17,53.16,0.85,-6.90,364.31
2010,17,32253.45,0.00,248.50,53.16,3.76,-9.63,294.30
2010,18,32365.52,0.00,243.96,53.16,0.26,-11.75,248.66
2010,19,32480.82,0.00,233.53,53.16,-3.15,-13.59,214.25
2010,20,32599.27,0.00,235.98,53.16,-5.28,-15.65,180.75
2010,21,32720.80,0.00,239.47,53.16,0.07,-10.61,272.42
2010,22,32845.33,0.00,146.13,53.16,-0.84,-6.05,388.76
2010,23,32972.79,6.11,99.97,52.13,1.16,-3.53,470.51
2010,24,33103.11,9.49,55.06,50.06,1.33,-1.07,564.67
2010,25,33236.20,1.91,56.27,48.67,-1.01,-2.69,501.17
2010,26,33372.01,0.00,119.53,48.67,-9.09,-12.99,224.86
2010,27,33510.45,0.00,163.15,48.67,-13.98,-19.37,131.83
2010,28,33651.45,0.00,205.05,48.67,-16.12,-23.16,94.64
2010,29,33794.94,0.00,301.17,48.67,-10.10,-26.84,67.78
2010,30,33940.84,0.00,306.22,48.67,-7.68,-25.31,77.97
2010,31,34089.09,0.00,301.38,48.67,-8.21,-23.18,94.45
2010,32,34239.61,0.00,300.44,48.67,-7.92,-22.05,104.43
2010,33,34392.33,2.05,219.05,50.72,-4.73,-17.29,157.45
2010,34,34547.18,0.00,308.07,50.72,-4.11,-18.75,139.03
2010,35,34704.10,0.00,309.96,50.72,-1.14,-15.92,176.65
2010,36,34863.01,0.00,180.32,50.72,-1.38,-7.14,357.71
2010,37,35023.85,0.00,262.31,50.72,-3.25,-12.54,233.32
2010,38,35186.56,0.00,308.37,50.72,-3.85,-16.75,164.80
2010,39,35351.06,1.88,268.92,52.60,-4.03,-13.59,214.25
2010,40,35517.30,2.18,107.71,54.77,-4.48,-8.76,315.25
2010,41,35685.22,0.00,225.25,54.77,-3.46,-10.49,274.89
2010,42,35854.74,0.00,339.45,54.77,-1.87,-17.02,161.07
2010,43,36025.82,0.00,359.90,54.77,-1.29,-21.77,107.04
2010,44,36198.39,0.00,362.71,54.77,0.14,-20.38,120.79
2010,45,36372.39,2.96,213.36,57.74,-5.34,-15.55,182.18
2010,46,36547.77,1.55,201.84,59.28,-3.59,-10.00,285.98
2010,47,36724.48,0.00,181.78,59.28,-2.08,-7.59,345.42
2010,48,36902.46,0.00,253.18,59.28,1.76,-6.27,382.25
2010,49,37081.65,0.00,362.26,59.28,2.96,-12.41,235.80
2010,50,37262.01,0.00,388.77,59.28,2.09,-18.32,144.28
2010,51,37443.49,0.00,376.34,59.28,1.19,-15.45,183.78
2010,52,37626.03,0.00,362.52,59.28,2.71,-12.16,240.64
2010,53,37809.59,2.21,225.77,61.50,2.08,-8.33,326.02
2010,54,37994.12,2.28,133.21,63.78,-1.85,-7.25,354.47
2010,55,38179.58,0.00,260.37,63.78,-4.76,-13.09,223.17
2010,56,38365.92,0.00,363.28,63.78,-2.65,-16.65,166.14
2010,57,38553.10,0.00,392.50,63.78,1.19,-15.84,177.84
2010,58,38741.07,0.00,345.20,63.78,2.21,-10.68,270.84
2010,59,38929.80,0.00,153.95,63.20,0.03,-4.61,433.75
2010,60,39119.25,0.00,341.08,63.20,1.94,-9.74,291.75
2010,61,39309.37,0.00,425.13,63.20,4.36,-14.81,193.20
2010,62,39500.12,0.00,436.42,63.20,5.99,-15.03,184.47
2010,63,39691.47,0.00,423.47,63.20,5.33,-12.83,222.83
2010,64,39883.39,0.00,433.86,63.20,7.17,-12.18,226.31
2010,65,40075.83,0.00,434.64,63.20,8.52,-10.59,250.39
2010,66,40268.77,0.00,429.41,63.20,10.18,-8.30,291.48
2010,67,40462.16,0.00,410.90,63.09,10.77,-5.75,356.18
2010,68,40655.98,1.94,347.08,62.45,7.56,-4.47,430.31
2010,69,40850.18,2.85,157.49,60.21,5.81,-0.66,581.86
2010,70,41044.75,9.95,112.82,56.98,6.20,1.70,690.42
2010,71,41239.64,5.79,71.45,53.11,5.76,3.21,768.84
2010,72,41434.82,0.00,136.08,49.53,6.35,2.52,732.35
2010,73,41630.27,0.00,404.67,46.27,15.91,1.76,551.22
2010,74,41825.95,0.00,460.27,44.44,17.01,-1.65,395.19
2010,75,42021.84,0.00,465.86,42.92,16.82,-2.38,371.94
2010,76,42217.90,0.00,470.64,41.64,16.95,-2.95,353.09
2010,77,42414.10,0.00,440.47,39.39,16.23,-0.63,437.10
