Latitude: 41.0434782608696  Longitude: -120.0
X & Y on Lambert Conformal Conic: -1589299.75 37141.68
Tile: 11731
Elevation: 1846 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2010,1,32781.99,0.00,185.99,13.69,4.45,-0.63,583.46
2010,2,32825.01,0.00,274.61,12.69,4.45,-3.60,468.24
2010,3,32871.55,0.00,339.22,12.24,7.82,-4.94,423.25
2010,4,32921.57,0.00,329.53,11.08,8.34,-3.24,480.79
2010,5,32975.03,0.00,310.57,8.83,9.47,-0.64,582.65
2010,6,33031.90,0.00,288.58,6.72,7.72,-0.96,569.16
2010,7,33092.14,0.00,197.56,4.41,4.80,-0.50,588.74
2010,8,33155.70,2.81,131.87,2.38,3.66,-1.17,560.75
2010,9,33222.54,0.00,235.23,0.00,7.14,-0.23,600.57
2010,10,33292.61,0.00,177.44,0.00,5.27,0.05,612.76
2010,11,33365.87,0.00,201.40,0.00,7.20,1.18,665.09
2010,12,33442.26,9.64,119.15,0.00,5.54,0.76,645.45
2010,13,33521.73,12.32,129.11,0.00,3.43,-1.68,539.83
2010,14,33604.24,0.00,299.40,0.00,5.92,-4.46,438.72
2010,15,33689.73,0.00,240.08,0.00,6.67,-0.53,587.70
2010,16,33778.14,0.00,227.27,0.00,7.28,0.59,637.52
2010,17,33869.42,4.63,89.44,0.00,2.75,-0.65,582.55
2010,18,33963.51,0.00,160.09,0.00,2.58,-1.82,534.49
2010,19,34060.36,0.00,157.40,0.00,1.06,-3.20,482.34
2010,20,34159.91,3.39,91.31,0.00,-0.55,-3.90,457.86
2010,21,34262.09,4.03,117.86,0.00,-0.94,-5.23,414.04
2010,22,34366.86,4.60,187.28,4.60,0.05,-6.27,382.26
2010,23,34474.14,2.03,242.47,6.64,0.11,-8.99,309.65
2010,24,34583.89,5.63,179.70,12.27,-0.87,-6.71,369.57
2010,25,34696.04,9.79,112.97,10.64,1.45,-2.12,522.71
2010,26,34810.54,0.00,316.88,9.91,3.68,-4.25,445.67
2010,27,34927.32,0.00,376.08,9.91,3.31,-7.40,350.52
2010,28,35046.32,0.00,395.35,9.91,5.45,-6.85,365.71
2010,29,35167.48,0.00,323.29,8.98,4.12,-3.80,461.24
2010,30,35290.76,6.33,177.03,7.48,3.07,-2.43,510.89
