Latitude: 49.7391304347826  Longitude: -80.8695652173913
X & Y on Lambert Conformal Conic: 1311627.93 919688.9
Tile: 12470
Elevation: 272 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2010,1,28742.68,0.00,112.49,101.03,-19.79,-27.03,66.59
2010,2,28805.36,2.32,80.95,103.35,-20.69,-27.44,64.12
2010,3,28873.11,3.23,97.04,106.59,-14.88,-23.43,92.38
2010,4,28945.88,3.46,65.75,110.04,-11.70,-16.93,162.31
2010,5,29023.59,1.48,48.22,111.52,-11.69,-14.35,201.15
2010,6,29106.19,0.00,59.49,111.52,-11.90,-15.26,186.70
2010,7,29193.59,0.00,84.41,111.52,-13.02,-17.89,149.70
2010,8,29285.73,0.00,104.98,111.52,-17.16,-23.29,93.50
2010,9,29382.53,0.00,186.88,111.52,-8.79,-28.74,56.76
2010,10,29483.90,0.92,147.50,112.44,-6.10,-15.67,180.44
2010,11,29589.77,0.00,143.23,112.44,-11.69,-20.57,118.90
2010,12,29700.05,0.00,188.36,112.44,-9.72,-26.59,69.36
2010,13,29814.64,0.00,167.62,112.44,-3.63,-15.04,190.08
2010,14,29933.48,1.42,114.92,113.86,-0.93,-7.41,350.29
2010,15,30056.45,3.14,112.94,117.01,-3.02,-12.09,241.92
2010,16,30183.48,5.23,125.90,122.24,-5.41,-15.92,176.70
2010,17,30314.47,4.15,135.24,126.38,-1.05,-12.91,226.42
2010,18,30449.32,1.66,147.93,128.05,-2.52,-10.74,269.67
2010,19,30587.94,0.00,53.37,128.05,-10.95,-13.40,217.49
2010,20,30730.25,0.00,146.65,128.05,-8.47,-16.19,172.72
2010,21,30876.13,0.00,208.37,128.05,-1.33,-16.56,167.39
2010,22,31025.51,0.00,182.61,128.05,-6.08,-16.47,168.75
2010,23,31178.28,0.00,189.37,128.05,-4.75,-15.59,181.56
2010,24,31334.34,5.69,129.06,133.74,0.45,-8.56,320.25
2010,25,31493.61,6.40,129.30,140.14,2.27,-6.59,373.06
2010,26,31655.99,2.80,159.52,142.94,-9.30,-21.39,110.63
2010,27,31821.39,1.19,220.94,144.13,-13.16,-25.82,74.44
2010,28,31989.71,0.00,164.08,144.13,-20.36,-27.71,62.48
2010,29,32160.87,0.00,231.18,144.13,-19.45,-32.49,39.64
2010,30,32334.77,0.00,248.18,144.13,-13.88,-29.89,50.92
2010,31,32511.33,0.00,167.18,144.13,-17.15,-24.27,85.65
2010,32,32690.45,0.00,159.31,144.13,-20.03,-26.57,69.46
2010,33,32872.05,0.00,263.46,144.13,-10.60,-28.53,57.87
2010,34,33056.05,0.00,224.73,144.13,-12.54,-23.41,92.51
2010,35,33242.35,1.00,252.10,145.13,-8.51,-22.46,100.63
2010,36,33430.89,0.00,258.03,145.13,-10.96,-25.64,75.68
2010,37,33621.57,0.00,217.55,145.13,-10.74,-20.98,114.71
2010,38,33814.33,0.00,210.86,145.13,-10.70,-20.34,121.30
2010,39,34009.07,0.56,162.23,145.69,-11.41,-17.90,149.48
2010,40,34205.73,0.00,206.75,145.69,-10.19,-18.82,138.29
2010,41,34404.23,0.00,219.29,145.69,-10.47,-19.65,128.77
2010,42,34604.50,0.53,218.21,146.22,-12.18,-20.86,115.89
2010,43,34806.46,1.50,218.11,147.72,-9.22,-17.69,152.25
2010,44,35010.06,3.45,149.10,151.17,-7.67,-15.01,190.62
